pdf_page,variant,score,parsed_curr,parsed_total,gt_curr,gt_total
89,none_no_filter_none_close_2_dpi300,correct,1,4,1,4
89,none_no_filter_none_open_1_dpi200,wrong,1,1,1,4
89,otsu_blue_only_unsharp_1_03_close_2_dpi150,failed,,,1,4
89,none_no_filter_none_open_1_dpi300,correct,1,4,1,4
89,otsu_blue_only_unsharp_1_03_none_dpi200,failed,,,1,4
89,otsu_blue_only_unsharp_1_03_none_dpi150,failed,,,1,4
89,otsu_blue_only_unsharp_1_03_none_dpi300,failed,,,1,4
89,otsu_blue_only_unsharp_1_03_close_2_dpi200,failed,,,1,4
89,otsu_blue_only_unsharp_1_03_close_2_dpi300,failed,,,1,4
89,otsu_blue_only_unsharp_1_03_open_1_dpi150,failed,,,1,4
89,otsu_blue_only_unsharp_1_03_open_1_dpi200,failed,,,1,4
89,otsu_blue_only_clahe_2_none_dpi150,failed,,,1,4
89,otsu_blue_only_unsharp_1_03_open_1_dpi300,failed,,,1,4
89,otsu_blue_only_clahe_2_none_dpi200,failed,,,1,4
89,otsu_blue_only_clahe_2_close_2_dpi150,failed,,,1,4
89,otsu_blue_only_clahe_2_none_dpi300,failed,,,1,4
89,otsu_blue_only_clahe_2_close_2_dpi200,failed,,,1,4
89,otsu_blue_only_clahe_2_open_1_dpi150,failed,,,1,4
89,otsu_blue_only_clahe_2_open_1_dpi200,failed,,,1,4
89,otsu_blue_only_clahe_2_open_1_dpi300,failed,,,1,4
89,otsu_blue_only_clahe_4_none_dpi150,failed,,,1,4
89,otsu_blue_only_clahe_2_close_2_dpi300,failed,,,1,4
89,otsu_blue_only_clahe_4_none_dpi200,failed,,,1,4
89,otsu_blue_only_clahe_4_none_dpi300,failed,,,1,4
89,otsu_blue_only_clahe_4_open_1_dpi150,failed,,,1,4
89,otsu_blue_only_clahe_4_close_2_dpi150,failed,,,1,4
89,otsu_blue_only_clahe_4_close_2_dpi300,failed,,,1,4
89,otsu_blue_only_clahe_4_close_2_dpi200,failed,,,1,4
89,otsu_blue_only_clahe_4_open_1_dpi200,failed,,,1,4
89,otsu_blue_only_none_none_dpi150,failed,,,1,4
89,otsu_blue_only_clahe_4_open_1_dpi300,failed,,,1,4
89,otsu_blue_only_none_none_dpi200,failed,,,1,4
89,otsu_blue_only_none_close_2_dpi150,failed,,,1,4
89,otsu_blue_only_none_none_dpi300,failed,,,1,4
89,otsu_blue_only_none_close_2_dpi200,failed,,,1,4
89,otsu_blue_only_none_open_1_dpi150,failed,,,1,4
89,otsu_blue_only_none_close_2_dpi300,failed,,,1,4
89,otsu_blue_only_none_open_1_dpi200,failed,,,1,4
89,otsu_sat_filter_unsharp_1_03_none_dpi150,failed,,,1,4
89,otsu_blue_only_none_open_1_dpi300,failed,,,1,4
89,otsu_sat_filter_unsharp_1_03_close_2_dpi150,failed,,,1,4
89,otsu_sat_filter_unsharp_1_03_none_dpi200,failed,,,1,4
89,otsu_sat_filter_unsharp_1_03_close_2_dpi200,failed,,,1,4
89,otsu_sat_filter_unsharp_1_03_close_2_dpi300,failed,,,1,4
89,otsu_sat_filter_unsharp_1_03_none_dpi300,failed,,,1,4
89,otsu_sat_filter_unsharp_1_03_open_1_dpi150,failed,,,1,4
89,otsu_sat_filter_clahe_2_none_dpi150,failed,,,1,4
89,otsu_sat_filter_unsharp_1_03_open_1_dpi200,failed,,,1,4
89,otsu_sat_filter_unsharp_1_03_open_1_dpi300,failed,,,1,4
89,otsu_sat_filter_clahe_2_close_2_dpi150,failed,,,1,4
89,otsu_sat_filter_clahe_2_none_dpi200,failed,,,1,4
89,otsu_sat_filter_clahe_2_none_dpi300,failed,,,1,4
89,otsu_sat_filter_clahe_2_close_2_dpi200,failed,,,1,4
89,otsu_sat_filter_clahe_2_open_1_dpi150,failed,,,1,4
89,otsu_sat_filter_clahe_2_close_2_dpi300,failed,,,1,4
89,otsu_sat_filter_clahe_2_open_1_dpi200,failed,,,1,4
